,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_VOT__DT__max_depth,param_VOT__DT__min_samples_leaf,param_VOT__DT__min_samples_split,param_VOT__EL__alpha,param_VOT__KNN__n_neighbors,param_VOT__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
588,0.024405527114868163,0.009849689512502447,0.008401584625244141,0.0010200434173997552,5,5,2,3.0,5,"[6, 3, 6]","{'VOT__DT__max_depth': 5, 'VOT__DT__min_samples_leaf': 5, 'VOT__DT__min_samples_split': 2, 'VOT__EL__alpha': 3.0, 'VOT__KNN__n_neighbors': 5, 'VOT__weights': [6, 3, 6]}",0.8952073167463486,0.9161008855869521,0.9055895909047292,0.8703945892441163,0.8728228071699388,0.892023037930417,0.01794643358879576,498
589,0.0210052490234375,0.0012652360854697375,0.012204170227050781,0.0057069424598345025,5,5,2,3.0,5,"[7, 4, 7]","{'VOT__DT__max_depth': 5, 'VOT__DT__min_samples_leaf': 5, 'VOT__DT__min_samples_split': 2, 'VOT__EL__alpha': 3.0, 'VOT__KNN__n_neighbors': 5, 'VOT__weights': [7, 4, 7]}",0.8950530152203653,0.91469395772098,0.9041327809590985,0.8697166321585166,0.8703788467338573,0.8907950465585636,0.018046075361228087,508
590,0.020404243469238283,0.002799917024145561,0.008202409744262696,0.00039990173926092345,5,5,2,3.0,5,"[9, 2, 9]","{'VOT__DT__max_depth': 5, 'VOT__DT__min_samples_leaf': 5, 'VOT__DT__min_samples_split': 2, 'VOT__EL__alpha': 3.0, 'VOT__KNN__n_neighbors': 5, 'VOT__weights': [9, 2, 9]}",0.9026216089769924,0.9212118437497822,0.9181767624060635,0.8723151841973851,0.8822467704470611,0.8993144339554568,0.019320900714184158,355
591,0.02080545425415039,0.0009791044567047436,0.008601188659667969,0.000488714123120958,5,5,2,3.0,7,"[6, 3, 6]","{'VOT__DT__max_depth': 5, 'VOT__DT__min_samples_leaf': 5, 'VOT__DT__min_samples_split': 2, 'VOT__EL__alpha': 3.0, 'VOT__KNN__n_neighbors': 7, 'VOT__weights': [6, 3, 6]}",0.8911495510798844,0.9111433704613756,0.9103496275642788,0.8716749708375738,0.8768171615490148,0.8922269362984254,0.016415045666701083,492
592,0.020205593109130858,0.0003989463605359985,0.008400726318359374,0.0004909172839031807,5,5,2,3.0,7,"[7, 4, 7]","{'VOT__DT__max_depth': 5, 'VOT__DT__min_samples_leaf': 5, 'VOT__DT__min_samples_split': 2, 'VOT__EL__alpha': 3.0, 'VOT__KNN__n_neighbors': 7, 'VOT__weights': [7, 4, 7]}",0.8905897388833566,0.9091425418132949,0.9083486986291771,0.8696645884232316,0.874793055886707,0.8905077247271533,0.016413108369088544,514
593,0.01960301399230957,0.0007992475270931099,0.008201408386230468,0.00039587264978055507,5,5,2,3.0,7,"[9, 2, 9]","{'VOT__DT__max_depth': 5, 'VOT__DT__min_samples_leaf': 5, 'VOT__DT__min_samples_split': 2, 'VOT__EL__alpha': 3.0, 'VOT__KNN__n_neighbors': 7, 'VOT__weights': [9, 2, 9]}",0.9005889956084578,0.918844020753832,0.9173916927486546,0.8745204244606839,0.8842924714549997,0.8991275210053257,0.017607067531739712,359
594,0.02240605354309082,0.0028708408992636765,0.010402727127075195,0.0053142490659733475,5,5,5,0.001,2,"[6, 3, 6]","{'VOT__DT__max_depth': 5, 'VOT__DT__min_samples_leaf': 5, 'VOT__DT__min_samples_split': 5, 'VOT__EL__alpha': 0.001, 'VOT__KNN__n_neighbors': 2, 'VOT__weights': [6, 3, 6]}",0.9293900042818951,0.9424577119099481,0.9182920346318522,0.9169169221976351,0.9027553038332661,0.9219623953709194,0.013289605614933805,163
595,0.02540593147277832,0.006621590214341616,0.00960073471069336,0.0023310261981129453,5,5,5,0.001,2,"[7, 4, 7]","{'VOT__DT__max_depth': 5, 'VOT__DT__min_samples_leaf': 5, 'VOT__DT__min_samples_split': 5, 'VOT__EL__alpha': 0.001, 'VOT__KNN__n_neighbors': 2, 'VOT__weights': [7, 4, 7]}",0.928609577616513,0.941034005437255,0.9165973678250566,0.9156108504710865,0.9001602996615224,0.9204024202022867,0.013712773243942308,187
596,0.022403907775878907,0.0011994724400141842,0.011802434921264648,0.005602836823970709,5,5,5,0.001,2,"[9, 2, 9]","{'VOT__DT__max_depth': 5, 'VOT__DT__min_samples_leaf': 5, 'VOT__DT__min_samples_split': 5, 'VOT__EL__alpha': 0.001, 'VOT__KNN__n_neighbors': 2, 'VOT__weights': [9, 2, 9]}",0.9371691058751834,0.9486530018362115,0.9312359905104802,0.9223961209174572,0.9120124982680934,0.9302933434814852,0.012504376615888716,80
597,0.023205089569091796,0.002638182907729739,0.008600902557373048,0.0004902383996105009,5,5,5,0.001,5,"[6, 3, 6]","{'VOT__DT__max_depth': 5, 'VOT__DT__min_samples_leaf': 5, 'VOT__DT__min_samples_split': 5, 'VOT__EL__alpha': 0.001, 'VOT__KNN__n_neighbors': 5, 'VOT__weights': [6, 3, 6]}",0.9281824385477616,0.9425015684691659,0.9262816982834507,0.9143477655787289,0.9004763537958561,0.9223579649349926,0.014128362533351651,161
598,0.020804738998413085,0.0007477823134826039,0.008402633666992187,0.0004913142838227496,5,5,5,0.001,5,"[7, 4, 7]","{'VOT__DT__max_depth': 5, 'VOT__DT__min_samples_leaf': 5, 'VOT__DT__min_samples_split': 5, 'VOT__EL__alpha': 0.001, 'VOT__KNN__n_neighbors': 5, 'VOT__weights': [7, 4, 7]}",0.9273899105513678,0.9408751364508113,0.9185738806526089,0.9134885164286107,0.8978132726130182,0.9196281433392833,0.014327420003296712,198
599,0.020204687118530275,0.0007463175557320668,0.008202743530273438,0.0003983055461904742,5,5,5,0.001,5,"[9, 2, 9]","{'VOT__DT__max_depth': 5, 'VOT__DT__min_samples_leaf': 5, 'VOT__DT__min_samples_split': 5, 'VOT__EL__alpha': 0.001, 'VOT__KNN__n_neighbors': 5, 'VOT__weights': [9, 2, 9]}",0.9352732286581056,0.9478870257908171,0.9308811190505859,0.9210120962895625,0.9104981154384368,0.9291103170455015,0.012693913806752694,87
600,0.020203161239624023,0.0007466614963656784,0.009002494812011718,0.0006324854129463404,5,5,5,0.001,7,"[6, 3, 6]","{'VOT__DT__max_depth': 5, 'VOT__DT__min_samples_leaf': 5, 'VOT__DT__min_samples_split': 5, 'VOT__EL__alpha': 0.001, 'VOT__KNN__n_neighbors': 7, 'VOT__weights': [6, 3, 6]}",0.9259864315760312,0.9387236489533053,0.918031129137091,0.914989072763468,0.9036841475786281,0.9202828860017046,0.011672233335329862,189
601,0.024006223678588866,0.00654349746791671,0.008403968811035157,0.0010213022928583868,5,5,5,0.001,7,"[7, 4, 7]","{'VOT__DT__max_depth': 5, 'VOT__DT__min_samples_leaf': 5, 'VOT__DT__min_samples_split': 5, 'VOT__EL__alpha': 0.001, 'VOT__KNN__n_neighbors': 7, 'VOT__weights': [7, 4, 7]}",0.92231507183521,0.9368378934347494,0.9165279758926189,0.9133897259522394,0.9013778021093667,0.9180896938448369,0.0116031443458791,222
602,0.019604587554931642,0.0004898045339619595,0.008004903793334961,0.0006331687192264567,5,5,5,0.001,7,"[9, 2, 9]","{'VOT__DT__max_depth': 5, 'VOT__DT__min_samples_leaf': 5, 'VOT__DT__min_samples_split': 5, 'VOT__EL__alpha': 0.001, 'VOT__KNN__n_neighbors': 7, 'VOT__weights': [9, 2, 9]}",0.9335806847230719,0.9462707938930928,0.9299110872426448,0.9187340177778939,0.9121013761109544,0.9281195919495315,0.011892614202478417,93
603,0.01900506019592285,0.000892604364629887,0.0078013896942138675,0.00039952012940973255,5,5,5,1.5005,2,"[6, 3, 6]","{'VOT__DT__max_depth': 5, 'VOT__DT__min_samples_leaf': 5, 'VOT__DT__min_samples_split': 5, 'VOT__EL__alpha': 1.5005, 'VOT__KNN__n_neighbors': 2, 'VOT__weights': [6, 3, 6]}",0.9001894350916271,0.9198851406357023,0.9118335273100119,0.8779054016695441,0.8787083936571825,0.8977043796728136,0.01703315287878981,388
