,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_EL__alpha,param_EL__l1_ratio,param_IMP__strategy,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
154,0.010197687149047851,0.002636211836722354,0.0020028114318847655,2.498735905947476e-06,3.684273684210526,0.7778,mean,"{'EL__alpha': 3.684273684210526, 'EL__l1_ratio': 0.7778, 'IMP__strategy': 'mean'}",-16.599738486368903,-0.45764008251277577,0.0509133946953626,-9.910907268097944,-0.30811082965979275,-5.44509665438881,6.720698947531096,340
155,0.011597013473510743,0.0023304537983421954,0.0020030975341796876,2.3582960164791563e-06,3.684273684210526,0.7778,median,"{'EL__alpha': 3.684273684210526, 'EL__l1_ratio': 0.7778, 'IMP__strategy': 'median'}",-16.554942808230063,-0.4455321552526743,0.04864774904184477,-9.889960050576596,-0.30705430268133593,-5.429768313539765,6.704635252447565,338
156,0.008398962020874024,0.002414177747742502,0.0024016857147216796,0.0004909798344250881,3.684273684210526,0.8889,mean,"{'EL__alpha': 3.684273684210526, 'EL__l1_ratio': 0.8889, 'IMP__strategy': 'mean'}",-13.537117697697708,-0.43163576324626174,0.043071041658868214,-10.833354247148941,-0.4009321425005121,-5.031993761786911,5.905238773188793,291
157,0.010799407958984375,0.0035991544090291806,0.002000236511230469,2.1986278311535843e-06,3.684273684210526,0.8889,median,"{'EL__alpha': 3.684273684210526, 'EL__l1_ratio': 0.8889, 'IMP__strategy': 'median'}",-13.527819087546575,-0.4240194370881232,0.03934648529672835,-10.693857846902834,-0.3998438949841796,-5.001238756244996,5.8760489310353705,287
158,0.007799577713012695,0.0027088816763117768,0.0020006179809570314,6.545708166464698e-06,3.684273684210526,1.0,mean,"{'EL__alpha': 3.684273684210526, 'EL__l1_ratio': 1.0, 'IMP__strategy': 'mean'}",-11.377471178584207,-0.3766218733101614,0.017425393530099864,-10.507439387382266,-0.4118871296690556,-4.531198835083118,5.244160889429611,261
159,0.009398555755615235,0.0027964322728223964,0.002402591705322266,0.0004931620482572411,3.684273684210526,1.0,median,"{'EL__alpha': 3.684273684210526, 'EL__l1_ratio': 1.0, 'IMP__strategy': 'median'}",-11.367552198766672,-0.3691958753358402,0.008702525531240068,-10.364673042161916,-0.41088362768613806,-4.500720443683866,5.209039726964072,256
160,0.017597484588623046,0.0008007544925418159,0.0020029544830322266,2.5096316083795105e-06,4.210584210526315,0.0001,mean,"{'EL__alpha': 4.210584210526315, 'EL__l1_ratio': 0.0001, 'IMP__strategy': 'mean'}",-47.11563811136861,0.2800968020990161,-0.13538746993635375,-2.072896052178395,-1.3383590215349765,-10.076436770583864,18.538583287742348,359
161,0.024998569488525392,0.009101757015063577,0.004202699661254883,0.0021340873869750226,4.210584210526315,0.0001,median,"{'EL__alpha': 4.210584210526315, 'EL__l1_ratio': 0.0001, 'IMP__strategy': 'median'}",-45.18750900527182,0.24412989632594484,0.01684489800687805,-2.4514789631433485,-1.1962991739282214,-9.714862469602114,17.76242646747481,357
162,0.014002370834350585,0.003634531787378784,0.0029994487762451173,0.0006343742808251891,4.210584210526315,0.11120000000000001,mean,"{'EL__alpha': 4.210584210526315, 'EL__l1_ratio': 0.11120000000000001, 'IMP__strategy': 'mean'}",-21.65718721250381,0.13519550574548156,-0.11097631552474763,-0.1534615001825843,-0.6957701271698831,-4.496439929927108,8.584662344082094,255
163,0.012600946426391601,0.0025764791637596044,0.002200603485107422,0.00040340744855967686,4.210584210526315,0.11120000000000001,median,"{'EL__alpha': 4.210584210526315, 'EL__l1_ratio': 0.11120000000000001, 'IMP__strategy': 'median'}",-19.991631996164436,0.1323207361189771,-0.03863464294993024,-0.1543379343532587,-0.6339293178693473,-4.137242631043599,7.931281799562043,216
164,0.01119842529296875,0.0026366931083227673,0.002199888229370117,0.0004001905671367225,4.210584210526315,0.2223,mean,"{'EL__alpha': 4.210584210526315, 'EL__l1_ratio': 0.2223, 'IMP__strategy': 'mean'}",-15.277327224050001,0.046647571870686244,-0.03076477808436584,-0.41699987907183944,-0.4081318310245532,-3.2173152280720148,6.032988043829564,109
165,0.014597702026367187,0.005883533903564956,0.003603076934814453,0.0022434726531965358,4.210584210526315,0.2223,median,"{'EL__alpha': 4.210584210526315, 'EL__l1_ratio': 0.2223, 'IMP__strategy': 'median'}",-15.225060191618542,0.055625684459537306,0.009268173793193557,-0.4190339106586707,-0.38571086939684185,-3.192982222684265,6.019207969083453,107
166,0.010996627807617187,0.0020972611452109587,0.0022040367126464843,0.00040085441557053005,4.210584210526315,0.33340000000000003,mean,"{'EL__alpha': 4.210584210526315, 'EL__l1_ratio': 0.33340000000000003, 'IMP__strategy': 'mean'}",-15.998353648621599,-0.02804064437926601,0.020203904370598602,-1.3538721925601211,-0.21582743716448838,-3.515178003670975,6.2617199450440495,137
167,0.011196327209472657,0.0023130233194482725,0.0026033878326416015,0.0004896746763471126,4.210584210526315,0.33340000000000003,median,"{'EL__alpha': 4.210584210526315, 'EL__l1_ratio': 0.33340000000000003, 'IMP__strategy': 'median'}",-15.95441904131043,-0.019978837175380182,0.022538330174687426,-1.3554850042798985,-0.209769136670112,-3.503422737852227,6.24589276826008,136
168,0.009597349166870116,0.002496494042805991,0.002403402328491211,0.0004899635939606545,4.210584210526315,0.4445,mean,"{'EL__alpha': 4.210584210526315, 'EL__l1_ratio': 0.4445, 'IMP__strategy': 'mean'}",-17.489584541487353,-0.13317591711623766,0.029639964216578107,-3.0988068933303072,-0.1910280905977677,-4.176591095663018,6.757569263838925,222
